data;vazao;nivel;chuva;Interpolado chuva;Interpolado vazao
07/10/2002;3,14252065;;0,104131184;Sim;Sim
08/10/2002;3,070602613;;0;Sim;Sim
09/10/2002;3,027657829;;0;Sim;Sim
10/10/2002;2,913984891;;0;Sim;Sim
11/10/2002;2,913984891;;0;Sim;Sim
12/10/2002;2,760781047;;0;Sim;Sim
13/10/2002;2,690252121;;0;Sim;Sim
14/10/2002;2,690252121;;0;Sim;Sim
15/10/2002;2,580211971;;0;Sim;Sim
16/10/2002;2,580211971;;0;Sim;Sim
17/10/2002;2,541026332;;0;Sim;Sim
18/10/2002;2,471381385;;0;Sim;Sim
19/10/2002;2,471381385;;0;Sim;Sim
20/10/2002;2,471381385;;0;Sim;Sim
21/10/2002;2,471381385;;0,044491886;Sim;Sim
22/10/2002;2,541026332;;0;Sim;Sim
23/10/2002;6,155833974;;35,17498821;Sim;Sim
24/10/2002;3,976046507;;1,09130932;Sim;Sim
25/10/2002;3,230535808;;0,076057359;Sim;Sim
26/10/2002;3,070602613;;0;Sim;Sim
27/10/2002;2,956181782;;0,005054748;Sim;Sim
28/10/2002;3,057378974;;0,001618193;Sim;Sim
29/10/2002;2,760781047;;0;Sim;Sim
30/10/2002;2,760781047;;0;Sim;Sim
31/10/2002;4,525724163;;3,865892303;Sim;Sim
01/11/2002;10,77456797;;39,91459002;Sim;Sim
02/11/2002;12,39929386;;4,188949401;Sim;Sim
03/11/2002;5,378139515;;0,057524059;Sim;Sim
04/11/2002;4,052852078;;0;Sim;Sim
05/11/2002;3,613204881;;0;Sim;Sim
06/11/2002;11,09115717;;42,70006924;Sim;Sim
07/11/2002;18,21285931;;27,90838745;Sim;Sim
08/11/2002;7,231199332;;5,545523036;Sim;Sim
09/11/2002;5,33334468;;0;Sim;Sim
10/11/2002;4,402220497;;0;Sim;Sim
11/11/2002;4,101347013;;0;Sim;Sim
12/11/2002;5,125448252;;0,479429203;Sim;Sim
13/11/2002;5,176312058;;16,2663456;Sim;Sim
14/11/2002;4,101347013;;0,653333209;Sim;Sim
15/11/2002;3,855128664;;0;Sim;Sim
16/11/2002;3,687143442;;0;Sim;Sim
17/11/2002;4,377456794;;10,34948948;Sim;Sim
18/11/2002;4,275841798;;0,009709157;Sim;Sim
19/11/2002;3,877068817;;1,054898536;Sim;Sim
20/11/2002;8,401640593;;20,80115567;Sim;Sim
21/11/2002;5,846017661;;0;Sim;Sim
22/11/2002;4,150511115;;0,018130546;Sim;Sim
23/11/2002;3,855128664;;6,717556978;Sim;Sim
24/11/2002;5,471507555;;10,07809053;Sim;Sim
25/11/2002;12,37838788;;8,048410256;Sim;Sim
26/11/2002;4,778001262;;0,177386573;Sim;Sim
27/11/2002;4,301924154;;0;Sim;Sim
28/11/2002;4,00502631;;0;Sim;Sim
29/11/2002;3,613204881;;0;Sim;Sim
30/11/2002;3,522375285;;0;Sim;Sim
01/12/2002;3,375634708;;0;Sim;Sim
02/12/2002;3,14252065;;0;Sim;Sim
03/12/2002;3,14252065;;1,989640484;Sim;Sim
04/12/2002;4,637606787;;0,234637956;Sim;Sim
05/12/2002;4,156439348;;2,222583024;Sim;Sim
06/12/2002;3,596313845;;0,08063026;Sim;Sim
07/12/2002;13,24219489;;27,38845656;Sim;Sim
08/12/2002;6,412269593;;6,766923829;Sim;Sim
09/12/2002;5,420375314;;10,74312635;Sim;Sim
10/12/2002;9,102123973;;18,39032013;Sim;Sim
11/12/2002;17,67791682;;27,18009808;Sim;Sim
12/12/2002;18,0520427;;26,20729954;Sim;Sim
13/12/2002;18,90869497;;14,15628133;Sim;Sim
14/12/2002;16,123096;;6,795804857;Sim;Sim
15/12/2002;13,23736774;;8,417966041;Sim;Sim
16/12/2002;16,6478009;;11,6974168;Sim;Sim
17/12/2002;13,96934002;;3,310791881;Sim;Sim
18/12/2002;9,316749487;;7,254295556;Sim;Sim
19/12/2002;11,87164782;;0,67307298;Sim;Sim
20/12/2002;8,146924096;;0;Sim;Sim
21/12/2002;6,956222603;;0;Sim;Sim
22/12/2002;15,48000869;;21,66257654;Sim;Sim
23/12/2002;13,50306839;;1,63241349;Sim;Sim
24/12/2002;8,376251024;;0;Sim;Sim
25/12/2002;12,42147448;;22,25955124;Sim;Sim
26/12/2002;17,54803038;;47,12101219;Sim;Sim
27/12/2002;11,75260308;;7,278593804;Sim;Sim
28/12/2002;8,558855505;;0,806328885;Sim;Sim
29/12/2002;8,506089709;;9,365022452;Sim;Sim
30/12/2002;9,934507753;;2,067561723;Sim;Sim
31/12/2002;9,049358177;;2,045024796;Sim;Sim
01/01/2003;13,59701092;;19,1069872;Sim;Sim
02/01/2003;29,09631471;;29,44105164;Sim;Sim
03/01/2003;35,44759969;;28,37862124;Sim;Sim
04/01/2003;22,8745668;;10,23241166;Sim;Sim
05/01/2003;33,95674903;;18,7273505;Sim;Sim
06/01/2003;26,7940602;;6,47711466;Sim;Sim
07/01/2003;53,02536859;;50,81237917;Sim;Sim
08/01/2003;50,19455549;;36,15780968;Sim;Sim
09/01/2003;28,03142277;;1,51889028;Sim;Sim
10/01/2003;18,82882467;;0;Sim;Sim
11/01/2003;18,93622816;;15,97383306;Sim;Sim
12/01/2003;16,60457636;;2,955615664;Sim;Sim
13/01/2003;27,61107645;;11,23620292;Sim;Sim
14/01/2003;24,61593434;;11,99479623;Sim;Sim
15/01/2003;57,70254547;;52,1002444;Sim;Sim
16/01/2003;85,28627054;;36,91697512;Sim;Sim
17/01/2003;59,36117178;;8,875651541;Sim;Sim
18/01/2003;43,02390839;;18,22759069;Sim;Sim
19/01/2003;30,95072129;;12,99292574;Sim;Sim
20/01/2003;33,07343165;;7,652680419;Sim;Sim
21/01/2003;22,69351773;;0,198703403;Sim;Sim
22/01/2003;19,38756278;;0,013650962;Sim;Sim
23/01/2003;18,39993393;;0,270660322;Sim;Sim
24/01/2003;16,4066282;;0;Sim;Sim
