data,vazao,nivel,chuva,Interpolado chuva
2016-02-08,3.2541666666666664,440.6666666666667,0.0,Não
2016-02-09,3.0708333333333333,437.0416666666667,0.0,Não
2016-02-10,2.954166666666667,434.7916666666667,0.0,Não
2016-02-11,2.995833333333333,435.6666666666667,0.0,Não
2016-02-12,10.470833333333331,538.5,73.0,Não
2016-02-13,10.016666666666667,538.125,13.2,Não
2016-02-14,5.991666666666667,487.6666666666667,0.2,Não
2016-02-15,4.779166666666667,468.9583333333333,0.0,Não
2016-02-16,4.341666666666667,461.7916666666667,0.0,Não
2016-02-17,4.0,455.7916666666667,0.0,Não
2016-02-18,3.825,452.0,0.0,Não
2016-02-19,3.6666666666666665,448.75,0.0,Não
2016-02-20,3.4791666666666665,445.5833333333333,0.0,Não
2016-02-21,3.333333333333333,442.9166666666667,0.0,Não
2016-02-22,3.2583333333333333,440.8333333333333,0.0,Não
2016-02-23,3.1375,438.2083333333333,0.0,Não
2016-02-24,3.016666666666667,435.9583333333333,9.2,Não
2016-02-25,2.9250000000000003,434.1666666666667,0.0,Não
2016-02-26,2.8625000000000003,432.8333333333333,0.0,Não
2016-02-27,3.8875,452.875,34.0,Não
2016-02-28,3.5041666666666664,446.0416666666667,0.0,Não
2016-02-29,3.545833333333333,446.7916666666667,9.8,Não
2016-03-01,3.2541666666666664,441.1666666666667,7.8,Não
2016-03-02,3.095833333333333,437.5416666666667,1.0,Não
2016-03-03,2.875,432.6666666666667,0.0,Não
2016-03-04,2.7999999999999994,431.2083333333333,0.0,Não
2016-03-05,2.920833333333333,434.0416666666667,4.6,Não
2016-03-06,2.808333333333333,431.8333333333333,0.0,Não
2016-03-07,2.720833333333333,430.0,0.0,Não
2016-03-08,2.6083333333333334,427.4583333333333,0.0,Não
2016-03-09,2.5791666666666666,426.2083333333333,0.0,Não
2016-03-10,2.5166666666666666,424.9166666666667,0.0,Não
2016-03-11,2.433333333333333,423.4583333333333,0.0,Não
2016-03-12,2.4,422.375,0.0,Não
2016-03-13,2.720833333333333,428.125,0.8,Não
2016-03-14,8.154166666666667,514.5,18.4,Não
2016-03-15,5.120833333333334,474.125,10.2,Não
2016-03-16,3.6041666666666665,447.9583333333333,0.2,Não
2016-03-17,3.454166666666667,445.3333333333333,6.2,Não
2016-03-18,4.004166666666666,455.0416666666667,0.0,Não
2016-03-19,5.429166666666667,478.25,12.8,Não
2016-03-20,3.875,452.9583333333333,0.2,Não
2016-03-21,3.420833333333333,444.4166666666667,0.0,Não
2016-03-22,3.1791666666666667,438.7083333333333,0.0,Não
2016-03-23,2.958333333333333,434.9166666666667,0.0,Não
2016-03-24,2.841666666666667,432.375,0.0,Não
2016-03-25,3.091666666666667,437.2083333333333,6.4,Não
2016-03-26,2.733333333333333,430.125,0.0,Não
2016-03-27,2.6166666666666667,427.5833333333333,0.0,Não
2016-03-28,2.575,426.125,0.0,Não
